community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
18,school,3,永宁街第二小学,科教文化服务;学校;小学,546,23.140313,113.594809,汽车城大道
18,hospital,1,长岗中心村卫生站,医疗保健服务;诊所;诊所,1265,23.140565,113.602150,新塘长岗新村(长岗新村街北)
18,hospital,2,广东省水电医院(凤凰城院区),医疗保健服务;综合医院;综合医院,1317,23.138304,113.602975,汽车城大道与长岗新村街交叉口东北100米
18,mall,1,广汇天地,购物服务;商场;购物中心,995,23.134308,113.598962,永宁街道凤凰北横路1号
18,mall,2,长实广场,购物服务;商场;购物中心,1180,23.137900,113.601639,永宁街长岗村华兴商贸综合市场
18,mall,3,东进商城(群星新邨店),购物服务;商场;商场,1474,23.128743,113.600409,纵一路与汇太西路交叉口北40米
18,park,1,罗马街心公园,风景名胜;公园广场;公园,1446,23.128493,113.580472,凤鸣苑六街
18,park,2,永宁街廉洁文化主题公园,风景名胜;公园广场;公园,1450,23.133837,113.576681,永宁街凤凰城酒店南
18,park,3,荔枝公园,风景名胜;公园广场;公园,1452,23.133155,113.576928,新塘凤凰城(碧桂园2环岛北)
19,school,1,珠海市香洲区东桥小学,科教文化服务;学校;小学,486,22.218156,113.521666,硕丰路与东桥大街交叉口西80米
19,school,2,香洲区杨匏安纪念学校,科教文化服务;学校;小学|科教文化服务;学校;幼儿园,682,22.219596,113.518121,北山因是园街79号
19,school,3,珠海容闳学校,科教文化服务;学校;小学,945,22.228051,113.518125,寿丰路2号
19,hospital,1,香洲区南屏镇东桥社区卫生服务站,医疗保健服务;医疗保健服务场所;医疗保健服务场所,594,22.216444,113.524512,绿景玺悦湾南区东门东南100米
19,hospital,2,原东桥卫生站,医疗保健服务;诊所;诊所,742,22.221115,113.517141,秀毓园东南门西南90米
19,hospital,3,珠海市香洲区拱北街道港昌社区卫生服务站,医疗保健服务;综合医院;卫生院,1059,22.228836,113.531212,港昌路507号
19,mall,1,红树湾商业中心,购物服务;商场;普通商场,94,22.220999,113.523965,前河西路233号
19,mall,2,秀毓园平价商场(秀毓园B区店),购物服务;便民商店/便利店;便民商店/便利店,638,22.221559,113.518118,香州区北山路2号秀毓园
19,mall,3,公园道商场,购物服务;购物相关场所;购物相关场所,644,22.226325,113.520425,公园道
19,park,1,前河西路滨河公园,风景名胜;公园广场;公园,347,22.224807,113.525158,前河东路滨河公园
19,park,2,东桥社区公园,风景名胜;公园广场;公园,495,22.217535,113.522856,东桥大街2号
19,park,3,前山滨河公园宠物公园,风景名胜;公园广场;公园,917,22.220527,113.533107,夏湾路554号
20,school,1,珠海容闳学校,科教文化服务;学校;小学,407,22.228051,113.518125,寿丰路2号
20,school,2,珠海市香洲区第二十三小学,科教文化服务;学校;小学,998,22.239248,113.519054,港口三路66号
20,school,3,香洲区杨匏安纪念学校,科教文化服务;学校;小学|科教文化服务;学校;幼儿园,1248,22.219596,113.518121,北山因是园街79号
20,hospital,1,珠海市香洲区华发新城社区卫生服务中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,284,22.229666,113.518463,珠海大道1号华发新城
20,hospital,2,华发新城社区卫生服务中心,医疗保健服务;综合医院;卫生院,285,22.229667,113.518456,珠海大道1号华发新城
20,hospital,3,珠海市香洲区前山街道前山社区卫生服务站,医疗保健服务;综合医院;卫生院,995,22.238857,113.524436,粤海西路118号
20,mall,1,公园道商场,购物服务;购物相关场所;购物相关场所,466,22.226325,113.520425,公园道
20,mall,2,珠海环宇城,商务住宅;楼宇;商住两用楼宇,543,22.233977,113.524757,前山前河北路96号
20,mall,3,天天平价商场(漾湖明居店),购物服务;便民商店/便利店;便民商店/便利店,753,22.237223,113.521609,前山港昌路903号
20,park,1,港昌社区公园,风景名胜;公园广场;公园,648,22.231191,113.527334,前山海荣新村西北(珠海大道东南)
20,park,2,前河西路滨河公园,风景名胜;公园广场;公园,757,22.224807,113.525158,前河东路滨河公园
20,park,3,前山滨河公园,风景名胜;公园广场;公园,770,22.235052,113.515473,前山河畔
21,school,1,珠海市香洲区云峰小学,科教文化服务;学校;小学,217,22.272547,113.502853,凤山街道扣扉路299号
21,school,2,珠海市香洲区第十五小学,科教文化服务;学校;小学,1141,22.282436,113.509494,凤山街道敬学路1号
21,school,3,珠海市南溪小学,科教文化服务;学校;小学,1292,22.285352,113.506907,前山镇南溪村东信街285号
21,hospital,1,长沙社区卫生服务站,生活服务;生活服务场所;生活服务场所,716,22.277511,113.508640,长沙新苑东南1门东北80米
21,hospital,2,珠海上衝医院北院区,医疗保健服务;综合医院;综合医院,1195,22.271129,113.513530,明珠北路68号原珠海市口腔医院
21,hospital,3,新香社区卫生服务站,医疗保健服务;综合医院;卫生院,1418,22.274564,113.516278,梅华西路943号
21,mall,1,智达家具业大商场,购物服务;家居建材市场;家具城,332,22.276325,113.499975,南坦路1号智达家具1号馆
21,mall,2,四而美家私商场,购物服务;家居建材市场;家具城,334,22.277134,113.500992,南溪村名贤家私城前排
21,mall,3,万科里,商务住宅;商务住宅相关;商务住宅相关,401,22.271222,113.504191,扣扉路与碧澜路交叉口南140米
21,park,1,康济亭社区公园,风景名胜;公园广场;公园,495,22.278654,113.504150,香洲大道与南福路交叉口东40米
21,park,2,TOD小镇社区公园,风景名胜;公园广场;公园,645,22.268775,113.503659,云峰路华发城建未来荟
21,park,3,南溪公园,风景名胜;公园广场;公园,926,22.282801,113.502436,南溪市场53号
22,school,1,珠海市斗门区尚峰学校(建设中),科教文化服务;学校;小学|科教文化服务;学校;中学,578,22.176894,113.317884,尚峰学校
22,hospital,1,白藤湖社区卫生服务中心,医疗保健服务;综合医院;卫生院,1272,22.177527,113.325108,农民新村南路一号
22,hospital,2,遵义医科大学第五附属(珠海)医院,医疗保健服务;综合医院;综合医院,1459,22.164756,113.303105,珠峰大道1439号遵义医学院第五附属(珠海)医院
22,hospital,3,卫生服务中心,医疗保健服务;综合医院;卫生院,1480,22.174540,113.299163,新伟街东风村办公楼
22,mall,1,东方墅商业街二期,购物服务;特色商业街;特色商业街,971,22.170390,113.304757,珠峰大道1288号
22,mall,2,珠海斗门世荣万达广场,购物服务;商场;购物中心,1230,22.166474,113.304419,井岸镇知行路118号
22,park,1,邻里社区公园,风景名胜;公园广场;公园,282,22.174476,113.316091,井岸镇河坊路旁
22,park,2,黄杨河湿地公园,风景名胜;公园广场;公园,716,22.175181,113.320242,井岸镇西堤路与河山路交叉口东北40米
22,park,3,华发水郡省级湿地公园,风景名胜;风景名胜;省级景点,739,22.167015,113.313606,井岸镇珠峰大道288号
23,school,1,珠海高新区礼和小学,科教文化服务;学校;小学,368,22.399558,113.548066,北城西二路与金业南路交叉口东北100米
23,school,2,珠海高新区凤鸣小学,科教文化服务;学校;小学,1356,22.403547,113.556642,北城东四路211号
23,hospital,1,珠海高新区人民医院北围院区(一期)(建设中),医疗保健服务;综合医院;综合医院,546,22.397609,113.539540,鼎兴路199号
23,mall,1,友丰五金建材城(高新区店),购物服务;家居建材市场;建材五金市场,669,22.398869,113.551278,高新区新湾六路65号
23,mall,2,中医药电商城,商务住宅;商务住宅相关;商务住宅相关,1051,22.389027,113.542320,金创一路35号
23,park,1,天星四路公园,风景名胜;公园广场;公园,208,22.400021,113.545199,金业西路与新沙六路交叉口东北120米
23,park,2,新湾七路公园,风景名胜;公园广场;公园,212,22.400059,113.545210,天星四路公园
23,park,3,新湾六路公园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,1064,22.406178,113.550492,兴中路300号
