community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
28,market,3,平湖市场潮汕特色熟食店,购物服务;综合市场;蔬菜市场,249,22.695888,114.131179,荔园街与裕和北街交叉口西南50米
29,market,1,惠民街市(黄贝店),购物服务;综合市场;农副产品市场,133,22.547789,114.134145,凤凰路黄贝岭凤凰综合楼1层03号
29,market,2,钱大妈(华丽路店),购物服务;综合市场;农副产品市场,190,22.549366,114.134929,华丽路1023号(黄贝岭地铁站F1口步行480米)
29,market,3,朴朴超市(集浩花园店),购物服务;便民商店/便利店;便民商店/便利店,246,22.549936,114.135513,华丽路1036号集浩花园
30,market,1,沙坣社区生鲜购物平台,购物服务;超级市场;超市,591,22.687872,114.364764,沙新路与东纵路交叉口北140米
30,market,2,四季菜园(沙壆店),购物服务;综合市场;蔬菜市场|购物服务;综合市场;果品市场,666,22.688325,114.364125,沙新路24号(沙壆地铁站C口步行280米)
30,market,3,四方堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,667,22.688195,114.363873,沙新路20-2(沙壆地铁站D口步行230米)
31,market,1,钱大妈(田东中学店),购物服务;购物相关场所;购物相关场所,97,22.550767,114.233463,东和路71-7号
31,market,2,日日鲜肉菜超市,购物服务;综合市场;农副产品市场,121,22.548923,114.233179,梅花楼小区南门东南50米
31,market,3,惠民街市(田心店),购物服务;综合市场;综合市场,284,22.550000,114.230914,沙盐路7号
33,market,1,佳和市场,购物服务;综合市场;综合市场,218,22.544925,114.084075,振华路与中航路交叉口西北60米(华强北地铁站C口旁)
33,market,2,叮咚买菜,购物服务;综合市场;蔬菜市场,357,22.547843,114.083025,十一号路与友谊路交叉口东40米
33,market,3,龙胜东铺市场(深南中路世纪汇广场店),购物服务;综合市场;综合市场,424,22.541241,114.083494,深南中路3018号世纪汇广场F3层
34,market,1,钱大妈(半岛·城邦店),购物服务;综合市场;农副产品市场,363,22.481655,113.931206,蛇口街道金世纪南路半岛城邦二期5栋地下商铺3号
34,market,2,鲜惠达蔬菜鲜肉配送行,生活服务;物流速递;物流速递,613,22.484569,113.930203,湾厦路22号(东角头地铁站A口步行200米)
34,market,3,纯鲜生农家肉菜批发零售(蓝漪花园店),购物服务;综合市场;农副产品市场,708,22.485477,113.927792,蛇口老街与渔村路交叉口西60米
35,market,1,无边市集,购物服务;购物相关场所;购物相关场所,220,22.559109,114.108713,笋岗街道笋西社区宝安北路2011号桃园商业大厦1层A028号
35,market,2,好再来肉菜商店(深业泰富综合楼店),购物服务;综合市场;农副产品市场,348,22.558500,114.109927,嘉宝田花园西2门旁
35,market,3,吉星生鲜超市(八卦岭宿舍区店),购物服务;专卖店;专营店,409,22.559005,114.102592,深圳致远本田汽配南2门旁
38,market,1,百荷蔬菜批发店,购物服务;综合市场;蔬菜市场,230,22.747650,114.024007,福城街道章阁社区恒隆科技园A5栋102厂房
38,market,2,化州文明生鲜家禽档,购物服务;综合市场;农副产品市场,337,22.745846,114.019241,福城街道章阁市场C06
38,market,3,章阁市场(樟阁路),购物服务;综合市场;综合市场,361,22.745378,114.019404,福城街道章阁社区桂月路480号
39,market,1,钱大妈(径贝社区店),购物服务;综合市场;农副产品市场,135,22.568195,113.876384,西乡街道径贝华侨新村8巷8号径贝社区
39,market,2,美益生鲜(径贝社区店),购物服务;综合市场;农副产品市场,157,22.568875,113.876675,径贝新村路与径贝三路交叉口东北120米
39,market,3,钱大妈(安泰花园店),购物服务;综合市场;农副产品市场,232,22.568637,113.872894,码头路29号安泰花园12栋
40,market,1,每日鲜蔬(深圳新洲花园店),购物服务;综合市场;蔬菜市场,115,22.523725,114.046975,新洲二街与新洲七街交叉口东北60米
