date,city,category,scope,district,units,area_sqm,granularity,source_url
2026-05-13,深圳,二手,住宅,全市,293,29104.17,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-13,深圳,新房,住宅,全市,164,17429.26,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-14,深圳,二手,住宅,全市,259,26169.97,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-14,深圳,新房,住宅,全市,132,14735.54,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-15,深圳,二手,住宅,全市,278,27013.26,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-15,深圳,新房,住宅,全市,145,16115.63,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-16,深圳,二手,住宅,全市,76,6969.05,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-16,深圳,新房,住宅,全市,138,14446.51,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-17,深圳,二手,住宅,全市,68,6513.35,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-17,深圳,新房,住宅,全市,62,6363.42,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-18,深圳,二手,住宅,全市,265,27037.87,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-18,深圳,新房,住宅,全市,40,3990.91,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-19,深圳,二手,住宅,全市,256,26298.84,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-19,深圳,新房,住宅,全市,80,8997.30,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-20,深圳,二手,住宅,全市,286,27698.38,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-20,深圳,新房,住宅,全市,88,10548.81,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-21,深圳,二手,住宅,全市,249,25397.40,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-21,深圳,新房,住宅,全市,142,14572.20,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-22,深圳,二手,住宅,全市,259,26160.46,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-22,深圳,新房,住宅,全市,125,14115.94,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-23,深圳,二手,住宅,全市,72,7268.79,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-23,深圳,新房,住宅,全市,95,9466.70,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-24,深圳,二手,住宅,全市,50,4297.94,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-24,深圳,新房,住宅,全市,66,6873.20,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-25,深圳,二手,住宅,全市,239,23211.37,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-25,深圳,新房,住宅,全市,48,5006.65,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-26,深圳,二手,住宅,全市,300,28495.29,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-26,深圳,新房,住宅,全市,82,9239.67,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-27,深圳,二手,住宅,全市,259,26148.31,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-27,深圳,新房,住宅,全市,219,23675.07,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-28,深圳,二手,住宅,全市,243,24104.34,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-28,深圳,新房,住宅,全市,137,15041.44,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-29,深圳,二手,住宅,全市,261,25588.78,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-29,深圳,新房,住宅,全市,76,8139.17,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-30,深圳,二手,住宅,全市,96,9800.88,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-30,深圳,新房,住宅,全市,74,7794.29,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-31,深圳,二手,住宅,全市,56,5089.63,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-05-31,深圳,新房,住宅,全市,42,4229.45,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-01,深圳,二手,住宅,全市,233,22913.03,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-01,深圳,二手,全部,全市,6214,592736.06,month,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,光明,169,14606.95,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,南山,993,111702.94,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,坪山,155,14027.76,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,大鹏,22,2078.16,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,宝安,763,73988.23,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,深汕,0,0.00,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,盐田,167,15071.29,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,福田,1129,110019.51,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,罗湖,991,80471.15,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,龙华,480,45700.24,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,二手,全部,龙岗,1345,125069.83,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
